,symbol_id,latex,map-MNIST-label,globalTotal
0,inf,inf,inf,inf
1,31.0,A,10.0,3033.0
2,32.0,B,11.0,3026.0
3,33.0,C,12.0,3344.0
4,34.0,D,13.0,3020.0
5,35.0,E,14.0,2892.0
6,36.0,F,15.0,3053.0
7,37.0,G,16.0,2964.0
8,38.0,H,17.0,2925.0
9,39.0,I,18.0,4490.0
10,40.0,J,19.0,2959.0
11,41.0,K,20.0,2850.0
12,42.0,L,21.0,3375.0
13,43.0,M,22.0,3077.0
14,44.0,N,23.0,3128.0
15,45.0,O,24.0,3176.0
16,46.0,P,25.0,3127.0
17,47.0,Q,26.0,3018.0
18,48.0,R,27.0,3061.0
19,49.0,S,28.0,3129.0
20,50.0,T,29.0,2981.0
21,51.0,U,30.0,3143.0
22,52.0,V,31.0,3237.0
23,53.0,W,32.0,3122.0
24,54.0,X,33.0,3203.0
25,55.0,Y,34.0,2966.0
26,56.0,Z,35.0,3165.0
